Teff	rho0
2400.000000	0.748276
2397.872873	0.748366
2395.745746	0.748420
2393.618619	0.748438
2391.491491	0.748420
2389.364364	0.748367
2387.237237	0.748279
2385.110110	0.748156
2382.982983	0.747999
2380.855856	0.747809
2378.728729	0.747585
2376.601602	0.747328
2374.474474	0.747038
2372.347347	0.746716
2370.220220	0.746363
2368.093093	0.745977
2365.965966	0.745561
2363.838839	0.745113
2361.711712	0.744635
2359.584585	0.744128
2357.457457	0.743590
2355.330330	0.743023
2353.203203	0.742427
2351.076076	0.741803
2348.948949	0.741150
2346.821822	0.740470
2344.694695	0.739762
2342.567568	0.739027
2340.440440	0.738265
2338.313313	0.737477
2336.186186	0.736663
2334.059059	0.735823
2331.931932	0.734958
2329.804805	0.734068
2327.677678	0.733154
2325.550551	0.732215
2323.423423	0.731253
2321.296296	0.730267
2319.169169	0.729259
2317.042042	0.728227
2314.914915	0.727174
2312.787788	0.726098
2310.660661	0.725001
2308.533534	0.723883
2306.406406	0.722744
2304.279279	0.721585
2302.152152	0.720405
2300.025025	0.719206
2297.897898	0.717988
2295.770771	0.716751
2293.643644	0.715495
2291.516517	0.714220
2289.389389	0.712929
2287.262262	0.711619
2285.135135	0.710293
2283.008008	0.708949
2280.880881	0.707590
2278.753754	0.706214
2276.626627	0.704823
2274.499499	0.703417
2272.372372	0.701996
2270.245245	0.700560
2268.118118	0.699110
2265.990991	0.697647
2263.863864	0.696170
2261.736737	0.694680
2259.609610	0.693177
2257.482482	0.691662
2255.355355	0.690136
2253.228228	0.688598
2251.101101	0.687048
2248.973974	0.685488
2246.846847	0.683917
2244.719720	0.682337
2242.592593	0.680747
2240.465465	0.679147
2238.338338	0.677539
2236.211211	0.675922
2234.084084	0.674296
2231.956957	0.672663
2229.829830	0.671023
2227.702703	0.669375
2225.575576	0.667721
2223.448448	0.666061
2221.321321	0.664394
2219.194194	0.662722
2217.067067	0.661045
2214.939940	0.659363
2212.812813	0.657676
2210.685686	0.655985
2208.558559	0.654291
2206.431431	0.652593
2204.304304	0.650892
2202.177177	0.649189
2200.050050	0.647483
2197.922923	0.645776
2195.795796	0.644067
2193.668669	0.642357
2191.541542	0.640646
2189.414414	0.638934
2187.287287	0.637223
2185.160160	0.635512
2183.033033	0.633802
2180.905906	0.632093
2178.778779	0.630385
