name	logg	Teff	mh	cto	logkzz	PH3	Radius_pc	SpT	f_F098M	f_F105W	f_F110W	f_F125W	f_F140W	f_F160W	f_F300X	f_F350LP	f_F435W	f_F475W	f_F475X	f_F555W	f_F600LP	f_F606W	f_F625W	f_F775W	f_F814W	f_F850LP
spectra_logzz_4.0_teff_300.0_grav_56.0_mh_0.0_co_0.5.nc	3.7481880270062002	300.0	0.0	0.5	4.0	chemeq	2.605493798780066e-09	Y2	3.6657160700076667e+18	2.849143600701029e+18	4.291820366374039e+18	4.627673337974886e+18	6.164360682469856e+18	5.886785666029755e+18	nan	2.7540647908615526e+17	nan	nan	5394988536029724.0	554644265311282.8	4.958631688212645e+17	3.341251429140278e+16	3.4283599748456736e+16	4.343677467640967e+17	8.521804991462607e+17	2.116249440562128e+18
spectra_logzz_2.0_teff_325.0_grav_31.0_mh_0.0_co_0.5.nc	3.4913616938342726	325.0	0.0	0.5	2.0	chemeq	2.6925057269529045e-09	Y2	4.797821184375493e+18	3.8932527978863365e+18	6.016543495448463e+18	6.592693678910611e+18	8.219710156483328e+18	6.722547151882619e+18	nan	2.925698883844585e+17	nan	nan	4252965299267007.0	345365571513002.06	5.2701755371138426e+17	2.979584338833062e+16	3.0044457981809612e+16	4.327028766553104e+17	9.042915207390336e+17	2.3832778019640765e+18
spectra_logzz_8.0_teff_325.0_grav_562.0_mh_0.0_co_0.5.nc	4.749736315569061	325.0	0.0	0.5	8.0	chemeq	2.1337262005208867e-09	Y2	3.0472189504595796e+19	2.1997046964730606e+19	3.0297617590053024e+19	3.128230653095881e+19	4.164078641506457e+19	4.29972242988581e+19	nan	1.6040877500421312e+18	nan	nan	2.158357684216015e+16	2587045536323747.0	2.900082431629689e+18	1.2570282577415502e+17	1.2763706779007045e+17	1.6706443432089718e+18	4.1387391891380567e+18	1.3680545599130106e+19
spectra_logzz_8.0_teff_300.0_grav_56.0_mh_0.0_co_1.5.nc	3.7481880270062002	300.0	0.0	1.5	8.0	chemeq	2.605493798780066e-09	Y2	7.307243908016792e+18	5.988369523112624e+18	1.0218555968936333e+19	1.185144003388238e+19	1.541515082814634e+19	1.1041922411850381e+19	nan	3.1691011072478144e+17	nan	nan	6860090000777859.0	585961939311088.6	5.707271292283015e+17	4.743851588981931e+16	4.754163144716319e+16	6.195443672978563e+17	9.357302947016998e+17	2.3874626089609503e+18
spectra_logzz_8.0_teff_275.0_grav_17.0_mh_0.0_co_2.5.nc	3.230448921378274	275.0	0.0	2.5	8.0	chemeq	2.6773843630334625e-09	Y2	1.0461144450080856e+18	9.111336781084114e+17	1.7423986681734892e+18	2.12410158354408e+18	2.7397506031902003e+18	1.8061620172760225e+18	nan	4.723688544025657e+16	nan	nan	2361252068731930.0	188111706054965.56	8.475631729847787e+16	1.641055448058973e+16	1.6848248726879364e+16	1.4113429099789134e+17	1.3892095029427189e+17	2.4871427821132614e+17
spectra_logzz_7.0_teff_325.0_grav_1000.0_mh_0.0_co_0.5.nc	5.0	325.0	0.0	0.5	7.0	chemeq	1.9668395497994175e-09	Y2	3.3217192044821746e+19	2.300242506695099e+19	2.904992172711347e+19	2.8102989821936263e+19	3.831699766564636e+19	4.238391491293479e+19	nan	1.8264703260453624e+18	nan	nan	2.1776136110799892e+16	3340459758964711.5	3.304317256585482e+18	1.264581127473715e+17	1.2866740977432682e+17	1.659886671466744e+18	4.599582356017402e+18	1.5827285278093208e+19
spectra_logzz_9.0_teff_325.0_grav_100.0_mh_0.0_co_0.5.nc	4.0	325.0	0.0	0.5	9.0	chemeq	2.557793661879611e-09	Y2	2.3536665745109287e+19	1.7994668383013538e+19	2.844463970997945e+19	3.1843448255344767e+19	4.101450787564804e+19	3.5396302116635013e+19	nan	9.359751604387997e+17	nan	nan	1.0269462295517956e+16	998044714347469.6	1.6919183941213804e+18	6.654057169469629e+16	6.686748358385741e+16	1.0203174487084663e+18	2.4285739079243914e+18	8.263538317556933e+18
spectra_logzz_7.0_teff_325.0_grav_17.0_mh_0.0_co_0.5.nc	3.230448921378274	325.0	0.0	0.5	7.0	chemeq	2.768386230752026e-09	Y2	1.1621865612967844e+19	9.33512690085436e+18	1.6101329693047853e+19	1.8808641786089038e+19	2.3834480378828886e+19	1.7883341049992192e+19	nan	3.4238235699948e+17	nan	nan	3646212019133587.0	477539388316076.1	6.186059510087397e+17	2.334978120177793e+16	2.3508843496098884e+16	4.268999627757809e+17	8.97294519890553e+17	3.1046778332836444e+18
spectra_logzz_2.0_teff_300.0_grav_1780.0_mh_0.0_co_1.5.nc	5.250420002308894	300.0	0.0	1.5	2.0	chemeq	1.786382300597677e-09	Y2	1.7304992222434472e+19	1.1243686609341944e+19	1.2577475026583167e+19	1.0667024502530888e+19	1.6157766889136521e+19	1.733103775377989e+19	nan	1.461124704266708e+18	nan	nan	2.7830935922917852e+16	3066593399215144.0	2.637274500673071e+18	1.7076166332674528e+17	1.733517560277132e+17	1.786154188986155e+18	4.106609346830069e+18	1.1616108337733908e+19
spectra_logzz_9.0_teff_325.0_grav_17.0_mh_0.0_co_0.5.nc	3.230448921378274	325.0	0.0	0.5	9.0	chemeq	2.768386230752026e-09	Y2	1.2891438147113157e+19	1.0243045041245282e+19	1.7685067040324727e+19	2.067700426296006e+19	2.6161240984994394e+19	1.9631945132960887e+19	nan	3.703385805419505e+17	nan	nan	3712580402948327.5	483083137578629.06	6.69361324331867e+17	2.3732416566345016e+16	2.3877081354940084e+16	4.399017417440389e+17	9.529316554660982e+17	3.399022793488693e+18
