name	logg	Teff	mh	cto	logkzz	PH3	Radius_pc	SpT	f_F098M	f_F105W	f_F110W	f_F125W	f_F140W	f_F160W	f_F300X	f_F350LP	f_F435W	f_F475W	f_F475X	f_F555W	f_F600LP	f_F606W	f_F625W	f_F775W	f_F814W	f_F850LP
spectra_logzz_4.0_teff_300.0_grav_1780.0_mh_-1.0_co_0.5.nc	5.250420002308894	300.0	-1.0	0.5	4.0	chemeq	1.786382866538159e-09	Y2	1.4023616994085956e+19	7.968376444320779e+18	5.090796424311102e+18	8.08149205541622e+17	3.113702049631976e+18	5.40309387449921e+18	nan	7.772773830572339e+17	nan	nan	5833024188807076.0	647610219475854.9	1.4142082483421847e+18	3.56939475226424e+16	3.584319700442421e+16	2.159606961665101e+17	1.260134108660705e+18	6.92437079627788e+18
spectra_logzz_8.0_teff_325.0_grav_178.0_mh_-1.0_co_2.5.nc	4.250420002308894	325.0	-1.0	2.5	8.0	chemeq	2.4247059500110064e-09	Y2	1.5137694131458267e+19	8.96387165686596e+18	8.263566752283603e+18	5.43307724077189e+18	1.2829148928464777e+19	1.7827176034070045e+19	nan	9.191486834175017e+17	nan	nan	4969131296110617.0	412319110013816.9	1.6677250022898376e+18	3.5782563666394316e+16	3.4730208161771384e+16	5.478342090997384e+17	2.027610924815501e+18	8.147752224371756e+18
spectra_logzz_9.0_teff_325.0_grav_1000.0_mh_-1.0_co_0.5.nc	5.0	325.0	-1.0	0.5	9.0	chemeq	1.9578173624816837e-09	Y2	1.732305582402252e+19	9.895866316716026e+18	7.133650500040494e+18	2.434279502168338e+18	6.882122804836859e+18	1.1727763952644983e+19	nan	1.0360205793664595e+18	nan	nan	7646627683195817.0	812451299522985.1	1.8824809234418022e+18	4.676151892663414e+16	4.674220551429086e+16	4.195804056707981e+17	1.9528444349538767e+18	9.173333928284598e+18
spectra_logzz_7.0_teff_325.0_grav_3160.0_mh_-1.0_co_2.5.nc	5.4996870826184034	325.0	-1.0	2.5	7.0	chemeq	1.6371145985624411e-09	Y2	3.1138115297629594e+19	1.7770296484620546e+19	1.2148276426358815e+19	3.2328209185649193e+18	1.1964032713725135e+19	1.8417001090375535e+19	nan	1.8153295464498322e+18	nan	nan	9445719334801174.0	1062423873773566.9	3.301594651954597e+18	5.73478006071617e+16	5.7542420728694504e+16	5.557592927775391e+17	3.2973876850891766e+18	1.6370312363921598e+19
spectra_logzz_8.0_teff_300.0_grav_316.0_mh_-1.0_co_1.0.nc	4.4996870826184034	300.0	-1.0	1.0	8.0	chemeq	2.2713463694327747e-09	Y2	1.0082170180999627e+19	5.758808885731232e+18	4.108695588215372e+18	1.338283816121199e+18	3.84085070860507e+18	6.424200051164628e+18	nan	5.998252520595588e+17	nan	nan	3701864844488870.5	341461653511017.94	1.0897565035861093e+18	2.5131428216033596e+16	2.485229519196317e+16	2.434728811358985e+17	1.1506061505924371e+18	5.338561489340646e+18
spectra_logzz_4.0_teff_325.0_grav_178.0_mh_-1.0_co_1.0.nc	4.250420002308894	325.0	-1.0	1.0	4.0	chemeq	2.4247059500110064e-09	Y2	1.3970653195687954e+19	8.175739089743429e+18	7.037507245116767e+18	4.0721193880122266e+18	9.272430450532061e+18	1.4306502490357993e+19	nan	8.380738776433188e+17	nan	nan	4603308653722932.0	400046412441350.06	1.521294551529499e+18	3.1623750885924324e+16	3.0952781522970884e+16	4.457146985232439e+17	1.7540742870281964e+18	7.439407557692062e+18
spectra_logzz_7.0_teff_325.0_grav_316.0_mh_-1.0_co_1.5.nc	4.4996870826184034	325.0	-1.0	1.5	7.0	chemeq	2.2848798353694526e-09	Y2	1.67530396630625e+19	9.754679087879326e+18	8.053853003410254e+18	4.2581296608872607e+18	1.066139281616723e+19	1.6119683433056735e+19	nan	9.482581897152756e+17	nan	nan	4321368902156134.5	542858271520142.3	1.7230191843984044e+18	2.8103114000084572e+16	2.777697213222771e+16	3.982023473531626e+17	1.8473844846059983e+18	8.546065448298334e+18
spectra_logzz_9.0_teff_325.0_grav_56.0_mh_-1.0_co_1.0.nc	3.7481880270062002	325.0	-1.0	1.0	9.0	chemeq	2.612266159347838e-09	Y2	1.1913597464279898e+19	7.149238559921004e+18	6.932603644811621e+18	4.961830397861174e+18	1.0568392873246407e+19	1.5566111096606648e+19	nan	6.423103952092902e+17	nan	nan	2087375497751675.8	179583052602853.5	1.1664014120087055e+18	1.5273943349389748e+16	1.4773022420022814e+16	3.026531421894035e+17	1.327155897262281e+18	5.859858112668012e+18
spectra_logzz_2.0_teff_300.0_grav_17.0_mh_-1.0_co_1.0.nc	3.230448921378274	300.0	-1.0	1.0	2.0	chemeq	2.686000108339325e-09	Y2	3.0600338353667374e+18	1.831849861846361e+18	1.834104055339483e+18	1.3528486568443062e+18	2.9658622619505275e+18	4.6085744429360594e+18	nan	2.2359920769486694e+17	nan	nan	1089476593339226.5	68896970854545.58	4.0487076765109824e+17	8835743118478940.0	8366413410770896.0	1.745809676004448e+17	5.6805959391387866e+17	1.9461212927131976e+18
spectra_logzz_4.0_teff_300.0_grav_562.0_mh_-1.0_co_1.5.nc	4.749736315569061	300.0	-1.0	1.5	4.0	chemeq	2.1156823557096483e-09	Y2	1.2296692863022125e+19	6.998585978726774e+18	4.871781111528518e+18	1.4033144283527713e+18	4.470932781556186e+18	7.304278512687556e+18	nan	7.567295678392748e+17	nan	nan	5624118721893381.0	519175879932880.6	1.374598629007949e+18	3.7807154276735864e+16	3.751703065215956e+16	3.080791699051992e+17	1.4706015413070116e+18	6.696893816954569e+18
spectra_logzz_4.0_teff_275.0_grav_316.0_mh_-1.0_co_0.5.nc	4.4996870826184034	275.0	-1.0	0.5	4.0	chemeq	2.257812869360622e-09	Y2	5.727358552561466e+18	3.2464062697706476e+18	2.0966433176850936e+18	3.60443673763648e+17	1.205585297340827e+18	2.2802116008600412e+18	nan	3.353384676496558e+17	nan	nan	3365275485992569.0	299955979239228.44	6.093235587620754e+17	2.28000918148054e+16	2.2633933545300904e+16	1.2682986175333816e+17	5.982718633620687e+17	2.930448141682382e+18
spectra_logzz_9.0_teff_275.0_grav_316.0_mh_-1.0_co_2.5.nc	4.4996870826184034	275.0	-1.0	2.5	9.0	chemeq	2.257812869360622e-09	Y2	5.313689108217744e+18	3.018161084343368e+18	2.0588894681202844e+18	5.3219302350091654e+17	1.9390052952865953e+18	3.192491169826708e+18	nan	3.423466044610081e+17	nan	nan	3524781117526672.5	315754231204655.1	6.21361357050935e+17	2.3915699700510988e+16	2.3703200438635156e+16	1.745891793229361e+17	6.936855116440518e+17	2.9536008942016133e+18
spectra_logzz_9.0_teff_300.0_grav_316.0_mh_-1.0_co_0.5.nc	4.4996870826184034	300.0	-1.0	0.5	9.0	chemeq	2.2713463694327747e-09	Y2	9.691874934269192e+18	5.523273809423882e+18	3.839675976362527e+18	1.1015378452836036e+18	3.158489096223011e+18	5.729843095427869e+18	nan	5.678705888248948e+17	nan	nan	3603022974577237.5	329671363827069.4	1.0319093065848202e+18	2.4428209414222372e+16	2.4174340022140456e+16	2.1443793778673117e+17	1.0579093773666646e+18	5.059192639541749e+18
spectra_logzz_7.0_teff_325.0_grav_562.0_mh_-1.0_co_2.5.nc	4.749736315569061	325.0	-1.0	2.5	7.0	chemeq	2.126959626925858e-09	Y2	2.2076170921601946e+19	1.2758896890642344e+19	9.874730419510266e+18	4.382101072149321e+18	1.2163694038944672e+19	1.785559331029786e+19	nan	1.2813790861361871e+18	nan	nan	6016491678953239.0	552283562755132.7	2.3285554900193326e+18	4.081261610501729e+16	4.026904528406666e+16	5.094102530164019e+17	2.495839793288567e+18	1.154531030826003e+19
spectra_logzz_2.0_teff_275.0_grav_17.0_mh_-1.0_co_1.0.nc	3.230448921378274	275.0	-1.0	1.0	2.0	chemeq	2.647292748434921e-09	Y2	1.1513457559459736e+18	6.712187152701857e+17	6.124298817221624e+17	3.8712150060109306e+17	1.0350161997744154e+18	1.7942139550406684e+18	nan	9.358810234768805e+16	nan	nan	793046096922237.0	59413382579617.15	1.693291960075978e+17	5781321225296082.0	5624589520436505.0	8.37144824735827e+16	2.4103503989602723e+17	7.802502692917655e+17
spectra_logzz_4.0_teff_300.0_grav_316.0_mh_-1.0_co_2.5.nc	4.4996870826184034	300.0	-1.0	2.5	4.0	chemeq	2.2713463694327747e-09	Y2	9.77459555624328e+18	5.610211079845547e+18	4.1949488629798154e+18	1.6502728479244877e+18	4.96906369453818e+18	7.694852415968296e+18	nan	6.003965595751101e+17	nan	nan	3794304214147445.5	370846951614512.75	1.0902938893563967e+18	2.5668976205198772e+16	2.5346328685081536e+16	2.8292109349440582e+17	1.2184995077331466e+18	5.317227518052046e+18
