name	logg	Teff	mh	cto	logkzz	PH3	Radius_pc	SpT	f_F070W	f_F090W	f_F115W	f_F150W	f_F200W	f_F277W	f_F300M	f_F356W	f_F410M	f_F444W	f_F480M
spectra_logzz_7.0_teff_300.0_grav_31.0_mh_1.0_co_1.5.nc	3.4913616938342726	300.0	1.0	1.5	7.0	chemeq	2.661002329523503e-09	Y2	1.0402776828714786e+17	1.087110814052652e+17	6.980097487344857e+18	1.195663705480909e+18	1.6079458745662646e+18	2.8738290247101783e+18	7.195176850424513e+18	1.977220045665254e+19	3.3261066305665447e+20	3.236129386605764e+20	1.52563050127742e+20
spectra_logzz_9.0_teff_300.0_grav_31.0_mh_1.0_co_1.5.nc	3.4913616938342726	300.0	1.0	1.5	9.0	chemeq	2.661002329523503e-09	Y2	1.2877421564589702e+17	2.8906406101667757e+17	1.2718811203081122e+19	1.6254793735067218e+18	2.1254459892509335e+18	4.049165221627267e+18	1.0126982973127227e+19	3.6012796263770726e+19	3.6499352485328716e+20	2.607018645531754e+20	1.1456534034070653e+20
spectra_logzz_4.0_teff_300.0_grav_31.0_mh_1.0_co_1.0.nc	3.4913616938342726	300.0	1.0	1.0	4.0	chemeq	2.661002329523503e-09	Y2	9.538225101076696e+16	9.489531780205214e+16	5.712663957506508e+18	1.0982513219296279e+18	1.3953773302618765e+18	2.1981970481920996e+18	5.556345789558992e+18	2.1679530801961443e+19	4.7325440812171166e+20	5.406388835297248e+20	3.7289248722408826e+20
spectra_logzz_9.0_teff_300.0_grav_562.0_mh_1.0_co_0.5.nc	4.749736315569061	300.0	1.0	0.5	9.0	chemeq	2.095381911134037e-09	Y2	5.6921840736195366e+17	6.385427955471517e+18	6.493519240247688e+19	1.8137078673884516e+19	7.211019004322235e+18	4.760559979325575e+18	1.2209245987603638e+19	2.4741859784146033e+20	1.9181421937355069e+21	1.3013269604820934e+21	2.894086944965811e+20
spectra_logzz_2.0_teff_325.0_grav_56.0_mh_1.0_co_1.0.nc	3.7481880270062002	325.0	1.0	1.0	2.0	chemeq	2.643945744647225e-09	Y2	1.7799020419023562e+17	4.100959423076825e+17	1.929367074106121e+19	4.269725033670204e+18	5.356294757245767e+18	5.644333980021067e+18	1.4070219894144905e+19	4.830007243637124e+19	9.824994890101516e+20	1.2333078985132464e+21	1.1360913535976921e+21
spectra_logzz_9.0_teff_275.0_grav_562.0_mh_1.0_co_0.5.nc	4.749736315569061	275.0	1.0	0.5	9.0	chemeq	2.0795943327408637e-09	Y2	5.2125191262932563e+17	3.5678991603172833e+18	2.348330115632948e+19	6.248276158191192e+18	2.1110937858738268e+18	1.7505378738703393e+18	4.5723300838475407e+18	1.1678244887640383e+20	1.1222547695510263e+21	8.347714609941203e+20	1.931397427173925e+20
spectra_logzz_2.0_teff_300.0_grav_3160.0_mh_1.0_co_1.5.nc	5.4996870826184034	300.0	1.0	1.5	2.0	chemeq	1.5955613579662438e-09	Y2	1.0712709975923493e+18	6.19515111113563e+18	5.819013225175584e+19	1.4291076984880732e+19	4.183370194827e+18	2.218467527444319e+18	5.471604136468059e+18	6.26649950989042e+19	1.520324387505327e+21	2.108836615970759e+21	1.8927328982250878e+21
spectra_logzz_8.0_teff_275.0_grav_100.0_mh_1.0_co_0.5.nc	4.0	275.0	1.0	0.5	8.0	chemeq	2.485616083158149e-09	Y2	1.9614741147213053e+17	5.722730452989577e+17	7.51995633760495e+18	1.6223554732056072e+18	9.863842227475249e+17	1.2453265887389128e+18	3.302386727450069e+18	5.381260400293422e+19	5.943454951632218e+20	4.921904452514456e+20	1.610571810708464e+20
spectra_logzz_7.0_teff_300.0_grav_178.0_mh_1.0_co_1.5.nc	4.250420002308894	300.0	1.0	1.5	7.0	chemeq	2.4021498885254974e-09	Y2	3.420038317418766e+17	8.64455266770787e+17	2.7409906448047157e+19	5.103953684766294e+18	3.915114594965612e+18	3.712511305656396e+18	9.319006456912204e+18	3.931883139486789e+19	6.204541282295799e+20	5.581309349822367e+20	2.0576347578048987e+20
spectra_logzz_9.0_teff_275.0_grav_178.0_mh_1.0_co_2.5.nc	4.250420002308894	275.0	1.0	2.5	9.0	chemeq	2.3728283295377162e-09	Y2	2.6376209356306454e+17	3.7298309613352864e+17	1.1391291862012054e+19	1.482807543557038e+18	1.1984057503201784e+18	1.4647871394567841e+18	3.6668114242817336e+18	1.2481911402724665e+19	2.0223734644319905e+20	1.9092527852957598e+20	9.398054307137895e+19
