name	logg	Teff	mh	cto	logkzz	PH3	Radius_pc	SpT	f_F070W	f_F090W	f_F115W	f_F150W	f_F200W	f_F277W	f_F300M	f_F356W	f_F410M	f_F444W	f_F480M
spectra_logzz_2.0_teff_300.0_grav_178.0_mh_-0.5_co_1.0.nc	4.250420002308894	300.0	-0.5	1.0	2.0	chemeq	2.4066619011877596e-09	Y2	1.1831381204199477e+17	5.079527465618828e+18	4.808690806591922e+18	7.52528277929607e+18	1.877027378353549e+17	4.236298003641415e+18	1.1330354128834146e+19	2.808498431833649e+20	2.8684645958047797e+21	4.253261264340234e+21	4.432212358307251e+21
spectra_logzz_2.0_teff_325.0_grav_562.0_mh_-0.5_co_1.5.nc	4.749736315569061	325.0	-0.5	1.5	2.0	chemeq	2.126959626925858e-09	Y2	1.527076299350144e+17	1.1807428887874886e+19	1.3530197382908658e+19	2.0206365702189978e+19	4.769955712030163e+17	9.710122802677854e+18	2.519172416055279e+19	4.136468669639103e+20	4.412768610948823e+21	6.126047479354352e+21	5.858144745068935e+21
spectra_logzz_8.0_teff_300.0_grav_31.0_mh_-0.5_co_1.5.nc	3.4913616938342726	300.0	-0.5	1.5	8.0	chemeq	2.6266262404550096e-09	Y2	6.033957107877359e+16	1.7442260056645637e+18	6.891042279762354e+18	7.673428927840279e+18	2.0758846151329946e+17	7.777676390994878e+18	1.9685058921654706e+19	1.4977679103611863e+20	2.2013724690548447e+21	2.748036957439249e+21	2.603010023069144e+21
spectra_logzz_4.0_teff_275.0_grav_100.0_mh_-0.5_co_1.0.nc	4.0	275.0	-0.5	1.0	4.0	chemeq	2.4901271696465478e-09	Y2	7.132380010582009e+16	1.87345123443717e+18	1.431370484293662e+18	2.7282773889777946e+18	5.083333732159119e+16	1.8571999879534093e+18	5.052338108111792e+18	1.4219862798209407e+20	1.7406980432883947e+21	2.8372853047178297e+21	3.1087496624005296e+21
spectra_logzz_7.0_teff_275.0_grav_1780.0_mh_-0.5_co_0.5.nc	5.250420002308894	275.0	-0.5	0.5	7.0	chemeq	1.779616451292318e-09	Y2	1.4355851745749702e+17	6.511453425678126e+18	9.283678605687313e+17	3.0885935324671124e+18	6.380944407602986e+16	1.8507520673107098e+18	5.471497420851915e+18	5.721779596788598e+20	3.2303408974044096e+21	3.5143893111736086e+21	2.6149293962804834e+21
spectra_logzz_9.0_teff_300.0_grav_100.0_mh_-0.5_co_1.0.nc	4.0	300.0	-0.5	1.0	9.0	chemeq	2.514938161502595e-09	Y2	8.282012984338451e+16	4.296748811436607e+18	6.650440009545487e+18	9.319780687845708e+18	2.3120855858239146e+17	6.363943229259154e+18	1.6764783166197854e+19	2.771961258603464e+20	2.980975202117416e+21	3.449582665254688e+21	3.0245234331117127e+21
spectra_logzz_2.0_teff_325.0_grav_316.0_mh_-0.5_co_2.5.nc	4.4996870826184034	325.0	-0.5	2.5	2.0	chemeq	2.2848798353694526e-09	Y2	1.8993881394988006e+17	9.097006116621595e+18	1.6363731788355555e+19	1.8660107644581097e+19	4.6424595563303814e+17	1.0243013490111035e+19	2.560223022229532e+19	2.2793039025692944e+20	3.350785898951485e+21	5.688789497688428e+21	6.438060856595037e+21
spectra_logzz_8.0_teff_275.0_grav_31.0_mh_-0.5_co_1.5.nc	3.4913616938342726	275.0	-0.5	1.5	8.0	chemeq	2.5926414736205174e-09	Y2	4.0433418093973736e+16	6.758763665575907e+17	1.777811923597884e+18	2.5704358690544143e+18	4.45054769429033e+16	2.730465095864466e+18	7.10473693428078e+18	8.013903111297547e+19	1.3585939542215927e+21	2.019274905787285e+21	2.1732780098790115e+21
spectra_logzz_2.0_teff_300.0_grav_3160.0_mh_-0.5_co_2.5.nc	5.4996870826184034	300.0	-0.5	2.5	2.0	chemeq	1.6352672628061667e-09	Y2	2.264517726780745e+17	1.243456979974934e+19	3.133217378346277e+18	8.734022220547322e+18	1.2953170018558014e+17	7.782406899277311e+18	2.010449404209605e+19	2.5694790288918263e+20	3.1763452135162475e+21	4.496242087217016e+21	4.168739968626329e+21
spectra_logzz_8.0_teff_325.0_grav_1000.0_mh_-0.5_co_1.0.nc	5.0	325.0	-0.5	1.0	8.0	chemeq	1.9578173624816837e-09	Y2	2.039632137259154e+17	1.7891950449660248e+19	1.162283450645489e+19	2.1608572440527106e+19	5.3310445056043584e+17	1.0415832571188535e+19	2.7707556323387105e+19	7.22194184127637e+20	5.64528780497917e+21	6.260935314122886e+21	5.004368098448738e+21
