name	logg	Teff	mh	cto	logkzz	PH3	Radius_pc	SpT	f_F062	f_F087	f_F106	f_F129	f_F158	f_F184	f_F146	f_F213
spectra_logzz_7.0_teff_300.0_grav_31.0_mh_1.0_co_1.5.nc	3.4913616938342726	300.0	1.0	1.5	7.0	chemeq	2.661002329523503e-09	Y2	6.224734160741598e+16	1.4023556253087637e+17	2.5389201425745367e+18	3.953132550495018e+18	1.0402226711113632e+18	1.1715936614010309e+17	2.061922606633007e+18	2.283694405329326e+18
spectra_logzz_9.0_teff_300.0_grav_31.0_mh_1.0_co_1.5.nc	3.4913616938342726	300.0	1.0	1.5	9.0	chemeq	2.661002329523503e-09	Y2	7.620382016169362e+16	3.259783625347453e+17	4.74040660396202e+18	7.15511196713043e+18	1.413635794830882e+18	1.6665942910141984e+17	3.6297843595149476e+18	3.010947055210008e+18
spectra_logzz_4.0_teff_300.0_grav_31.0_mh_1.0_co_1.0.nc	3.4913616938342726	300.0	1.0	1.0	4.0	chemeq	2.661002329523503e-09	Y2	5.52479069851053e+16	1.2680943724276038e+17	2.093657884688711e+18	3.197768148617453e+18	9.543682527970216e+17	8.413078626129742e+16	1.7079930105743713e+18	1.9848266045444106e+18
spectra_logzz_9.0_teff_300.0_grav_562.0_mh_1.0_co_0.5.nc	4.749736315569061	300.0	1.0	0.5	9.0	chemeq	2.095381911134037e-09	Y2	3.564993077629288e+17	5.607702781707594e+18	2.886863008999598e+19	3.3817547559684157e+19	1.5992694177081774e+19	8.136636242478004e+17	2.1385350570077344e+19	1.015953907084778e+19
spectra_logzz_2.0_teff_325.0_grav_56.0_mh_1.0_co_1.0.nc	3.7481880270062002	325.0	1.0	1.0	2.0	chemeq	2.643945744647225e-09	Y2	1.0743659090498909e+17	4.585504459197671e+17	7.46183205533917e+18	1.063209865997191e+19	3.713782693338986e+18	3.317513927835746e+17	5.972672229947302e+18	7.612855561167835e+18
spectra_logzz_9.0_teff_275.0_grav_562.0_mh_1.0_co_0.5.nc	4.749736315569061	275.0	1.0	0.5	9.0	chemeq	2.0795943327408637e-09	Y2	3.17312322063453e+17	3.41848636517756e+18	1.0284137371478985e+19	1.2144809182822896e+19	5.457476012020318e+18	1.890499106151878e+17	7.574071270356295e+18	2.9814860504326415e+18
spectra_logzz_2.0_teff_300.0_grav_3160.0_mh_1.0_co_1.5.nc	5.4996870826184034	300.0	1.0	1.5	2.0	chemeq	1.5955613579662438e-09	Y2	6.895591492396846e+17	5.852428964566774e+18	2.4818003206231302e+19	3.0948376243445957e+19	1.2372456634668749e+19	1.8612389164612877e+17	1.8487476153959043e+19	5.94807153290879e+18
spectra_logzz_8.0_teff_275.0_grav_100.0_mh_1.0_co_0.5.nc	4.0	275.0	1.0	0.5	8.0	chemeq	2.485616083158149e-09	Y2	1.0368676000321026e+17	6.326543485893399e+17	2.973699378748172e+18	4.0350697162590705e+18	1.4102421667692106e+18	5.7005967894487816e+16	2.2889298225465444e+18	1.4037840699518822e+18
spectra_logzz_7.0_teff_300.0_grav_178.0_mh_1.0_co_1.5.nc	4.250420002308894	300.0	1.0	1.5	7.0	chemeq	2.4021498885254974e-09	Y2	2.0387854942585213e+17	9.552822668469632e+17	1.0413045772420045e+19	1.5227569219898673e+19	4.433227173672759e+18	2.4509883251310957e+17	8.189081608834924e+18	5.56867065140138e+18
spectra_logzz_9.0_teff_275.0_grav_178.0_mh_1.0_co_2.5.nc	4.250420002308894	275.0	1.0	2.5	9.0	chemeq	2.3728283295377162e-09	Y2	1.650473706629342e+17	4.4168700579454995e+17	4.1671712178689464e+18	6.41723618228848e+18	1.2873633889678728e+18	7.863898509347149e+16	3.2254860082829066e+18	1.7024268005752008e+18
