name	logg	Teff	mh	cto	logkzz	PH3	Radius_pc	SpT	f_F062	f_F087	f_F106	f_F129	f_F158	f_F184	f_F146	f_F213
spectra_logzz_2.0_teff_300.0_grav_178.0_mh_-0.5_co_1.0.nc	4.250420002308894	300.0	-0.5	1.0	2.0	chemeq	2.4066619011877596e-09	Y2	7.907461554024907e+16	2.953837007935173e+18	4.6047039245946035e+18	3.392594226815276e+18	6.740468705109223e+18	4.78945331227697e+17	4.0428506080581345e+18	8.042089145309755e+16
spectra_logzz_2.0_teff_325.0_grav_562.0_mh_-0.5_co_1.5.nc	4.749736315569061	325.0	-0.5	1.5	2.0	chemeq	2.126959626925858e-09	Y2	1.0018729143807982e+17	6.020134872171737e+18	1.325675974565695e+19	1.0355442624189546e+19	1.8057362512786678e+19	1.2025369030395443e+18	1.138973412259551e+19	2.277223989605466e+17
spectra_logzz_8.0_teff_300.0_grav_31.0_mh_-0.5_co_1.5.nc	3.4913616938342726	300.0	-0.5	1.5	8.0	chemeq	2.6266262404550096e-09	Y2	3.8883506774559704e+16	1.2347412863767946e+18	3.13361514443981e+18	4.710882263561295e+18	6.70131209233475e+18	2.0736997739961536e+17	4.0029652300313196e+18	1.8625614273115894e+17
spectra_logzz_4.0_teff_275.0_grav_100.0_mh_-0.5_co_1.0.nc	4.0	275.0	-0.5	1.0	4.0	chemeq	2.4901271696465478e-09	Y2	4.6362547742966216e+16	1.197795829450971e+18	1.3822774048176005e+18	9.896921733972618e+17	2.4152142229292646e+18	1.2317496435371648e+17	1.3164844934625935e+18	1.996481528638565e+16
spectra_logzz_7.0_teff_275.0_grav_1780.0_mh_-0.5_co_0.5.nc	5.250420002308894	275.0	-0.5	0.5	7.0	chemeq	1.779616451292318e-09	Y2	9.282997624497984e+16	2.7940792132345334e+18	4.789724844531403e+18	6.636301597157507e+17	2.8997364652018386e+18	3.6592814309184666e+17	2.268944934296725e+18	3834057551203005.5
spectra_logzz_9.0_teff_300.0_grav_100.0_mh_-0.5_co_1.0.nc	4.0	300.0	-0.5	1.0	9.0	chemeq	2.514938161502595e-09	Y2	5.4211011303037624e+16	2.4469136311607706e+18	4.996878537464391e+18	4.632996814205553e+18	8.286819256435496e+18	4.870197054986866e+17	4.919326779593736e+18	1.3082313959194096e+17
spectra_logzz_2.0_teff_325.0_grav_316.0_mh_-0.5_co_2.5.nc	4.4996870826184034	325.0	-0.5	2.5	2.0	chemeq	2.2848798353694526e-09	Y2	1.2981240897968635e+17	5.51189323971392e+18	1.1351155856249375e+19	1.1783458319061678e+19	1.6353943105574482e+19	6.212815904637242e+17	1.0808587417850905e+19	3.4472991281306534e+17
spectra_logzz_8.0_teff_275.0_grav_31.0_mh_-0.5_co_1.5.nc	3.4913616938342726	275.0	-0.5	1.5	8.0	chemeq	2.5926414736205174e-09	Y2	2.4104560745264636e+16	5.134614293516254e+17	8.313511204992705e+17	1.2277730848031142e+18	2.2380325100215168e+18	5.208359375898828e+16	1.1843743642600737e+18	3.5267877732013284e+16
spectra_logzz_2.0_teff_300.0_grav_3160.0_mh_-0.5_co_2.5.nc	5.4996870826184034	300.0	-0.5	2.5	2.0	chemeq	1.6352672628061667e-09	Y2	1.4606973302031206e+17	6.175855622040212e+18	9.72095333805007e+18	2.46224594173675e+18	7.738844406291639e+18	3.70895853955035e+17	5.409311583761471e+18	3.954303544441395e+16
spectra_logzz_8.0_teff_325.0_grav_1000.0_mh_-0.5_co_1.0.nc	5.0	325.0	-0.5	1.0	8.0	chemeq	1.9578173624816837e-09	Y2	1.3836641544242619e+17	8.68730693538844e+18	1.7113008012716358e+19	9.350229673576106e+18	1.9801818489298383e+19	2.0098085071929188e+18	1.2623261790955858e+19	1.5801898107150538e+17
spectra_logzz_8.0_teff_275.0_grav_100.0_mh_-0.5_co_2.5.nc	4.0	275.0	-0.5	2.5	8.0	chemeq	2.4901271696465478e-09	Y2	4.826598266384675e+16	1.0463282099364728e+18	1.3603692020730857e+18	1.6288722899771901e+18	3.208222236159234e+18	5.2034097977885416e+16	1.7048006940202168e+18	3.697373044076065e+16
spectra_logzz_2.0_teff_275.0_grav_1000.0_mh_-0.5_co_2.5.nc	5.0	275.0	-0.5	2.5	2.0	chemeq	1.942028479063045e-09	Y2	1.2293658958922101e+17	2.6589787782876e+18	3.424405983042192e+18	1.1209506099785485e+18	3.5551683569893985e+18	9.38767908648555e+16	2.2095133936778668e+18	1.1676171728995728e+16
spectra_logzz_2.0_teff_325.0_grav_56.0_mh_-0.5_co_1.0.nc	3.7481880270062002	325.0	-0.5	1.0	2.0	chemeq	2.612266159347838e-09	Y2	5.270987317155848e+16	2.419614567230157e+18	6.693704339342235e+18	8.543387932956718e+18	1.1476116161370132e+19	7.761511839518964e+17	7.342255265935755e+18	3.6275831294289786e+17
spectra_logzz_9.0_teff_300.0_grav_17.0_mh_-0.5_co_1.0.nc	3.230448921378274	300.0	-0.5	1.0	9.0	chemeq	2.686000108339325e-09	Y2	2.4182553964502148e+16	1.0027156380267722e+18	2.7859875489434194e+18	4.181752897238797e+18	6.126019437158472e+18	2.557707138374934e+17	3.6081110734292603e+18	1.780630780092043e+17
spectra_logzz_4.0_teff_275.0_grav_31.0_mh_-0.5_co_1.0.nc	3.4913616938342726	275.0	-0.5	1.0	4.0	chemeq	2.5926414736205174e-09	Y2	2.130771264041335e+16	5.242060923917529e+17	6.898453113309617e+17	8.51638586558367e+17	1.7188245343887532e+18	6.898395482452963e+16	8.994216245728945e+17	2.4280541794722724e+16
spectra_logzz_8.0_teff_300.0_grav_100.0_mh_-0.5_co_0.5.nc	4.0	300.0	-0.5	0.5	8.0	chemeq	2.514938161502595e-09	Y2	5.247571242595427e+16	2.4956743432064e+18	4.5932668053172936e+18	3.37154801588061e+18	7.787491752808165e+18	8.334236975312612e+17	4.333033138403526e+18	8.372304477805515e+16
