name	logg	Teff	mh	cto	logkzz	PH3	Radius_pc	SpT	f_F098M	f_F105W	f_F110W	f_F125W	f_F140W	f_F160W	f_F300X	f_F350LP	f_F435W	f_F475W	f_F475X	f_F555W	f_F600LP	f_F606W	f_F625W	f_F775W	f_F814W	f_F850LP
spectra_logzz_9.0_teff_300.0_grav_178.0_mh_0.7_co_1.0.nc	4.250420002308894	300.0	0.7	1.0	9.0	chemeq	2.4021498885254974e-09	Y2	-23.049381750430957	-22.87304094357108	-23.351046415036233	-23.452153682028214	-23.53623529097278	-22.721650752502363	nan	-19.32101381434864	nan	nan	-15.76874071901198	-13.581079224642906	-19.95887153102492	-17.646794613440747	-17.705226891026	-20.023062088859305	-20.437657183049968	-21.51859727246495
spectra_logzz_2.0_teff_275.0_grav_100.0_mh_0.7_co_1.5.nc	4.0	275.0	0.7	1.5	2.0	chemeq	2.485616083158149e-09	Y2	-20.03074791960842	-19.975817229699924	-20.49984192634701	-20.620460735240847	-20.69568472239475	-19.821840757242533	nan	-17.335366250921965	nan	nan	-15.074470074069971	-12.872457369955015	-17.965457760564725	-16.901890837821608	-17.013027507235424	-18.514831492715665	-18.417797518389335	-18.648619198044564
spectra_logzz_2.0_teff_325.0_grav_1780.0_mh_0.7_co_1.5.nc	5.250420002308894	325.0	0.7	1.5	2.0	chemeq	1.7615710277900978e-09	Y2	-24.03664853293336	-23.895190663889906	-24.35532117515568	-24.448179641785934	-24.54961005707227	-23.817578795155708	nan	-20.673391094563648	nan	nan	-17.135021589401383	-15.12432487645367	-21.311431594009832	-18.924150582640273	-18.969559679463057	-21.33908382745916	-21.818825982766942	-22.835884521550177
spectra_logzz_2.0_teff_275.0_grav_56.0_mh_0.7_co_1.0.nc	3.7481880270062002	275.0	0.7	1.0	2.0	chemeq	2.5626563753470635e-09	Y2	-19.57460374376945	-19.506952944011612	-20.048734072082055	-20.179206021417723	-20.24336853019726	-19.358480077667735	nan	-17.04630528036316	nan	nan	-14.798058017412608	-12.383697060912468	-17.67614643126309	-16.632957745389078	-16.76112409993558	-18.2124668097451	-18.131006090741455	-18.2901303563331
spectra_logzz_8.0_teff_275.0_grav_316.0_mh_0.7_co_0.5.nc	4.4996870826184034	275.0	0.7	0.5	8.0	chemeq	2.23300211297923e-09	Y2	-22.224693043143436	-22.009937105643544	-22.40312963873147	-22.448036286138457	-22.592942295382795	-22.118010974277112	nan	-19.402129616608832	nan	nan	-15.996788397679325	-13.645152761874144	-20.037938944571348	-17.878402734394154	-17.9544059336584	-19.978235235158703	-20.63744338585225	-21.5420266922008
spectra_logzz_7.0_teff_300.0_grav_1000.0_mh_0.7_co_0.5.nc	5.0	300.0	0.7	0.5	7.0	chemeq	1.9262397143133415e-09	Y2	-23.820588443009775	-23.595132641454235	-23.983369963003337	-24.02925668031608	-24.157402187728728	-23.676707973451936	nan	-20.689691477987655	nan	nan	-16.92514398322433	-14.632175764655315	-21.328080531795347	-18.807126704629468	-18.854606138936173	-21.117709386017303	-21.862449634019228	-22.92554129216943
spectra_logzz_7.0_teff_275.0_grav_1000.0_mh_0.7_co_2.5.nc	5.0	275.0	0.7	2.5	7.0	chemeq	1.919473023357895e-09	Y2	-22.582098157292602	-22.466283418600113	-22.96507363146902	-23.07745205579046	-23.199752604375135	-22.440083900261584	nan	-19.466216262352127	nan	nan	-16.605978164107594	-14.625151091910915	-20.100095284325526	-18.38213536582018	-18.440717590369857	-20.522905214549596	-20.638247298992752	-21.28916205057085
spectra_logzz_2.0_teff_300.0_grav_100.0_mh_0.7_co_1.5.nc	4.0	300.0	0.7	1.5	2.0	chemeq	2.521704863514142e-09	Y2	-21.47759786799096	-21.389451220926404	-21.87973083219223	-21.983473781788554	-22.071711090876168	-21.20653047594602	nan	-18.136623414140004	nan	nan	-15.494317285464746	-13.062703541035475	-18.76950016178678	-17.397648915572137	-17.48003988869436	-19.2569524102801	-19.233744133558467	-19.818790831628753
spectra_logzz_9.0_teff_275.0_grav_178.0_mh_0.7_co_1.0.nc	4.250420002308894	275.0	0.7	1.0	9.0	chemeq	2.3728283295377162e-09	Y2	-21.84495940053177	-21.67617376624068	-22.14317200938851	-22.235311824143302	-22.336176121615992	-21.591093589313648	nan	-18.592510396652045	nan	nan	-15.537135579401976	-13.237841416720975	-19.227360895834273	-17.416146946917323	-17.49625561143264	-19.45203414086057	-19.765206624889366	-20.59622275794999
spectra_logzz_9.0_teff_325.0_grav_1000.0_mh_0.7_co_1.5.nc	5.0	325.0	0.7	1.5	9.0	chemeq	1.9352618988991165e-09	Y2	-24.773643203382193	-24.60424397008289	-25.10142760570864	-25.217800016030033	-25.301362734380486	-24.480263003374603	nan	-21.061819084492623	nan	nan	-17.023734985220926	-14.680342638379436	-21.702377241442885	-18.975278918549627	-19.0013348071714	-21.482084195359608	-22.13548801859708	-23.37882131293808
