name	logg	Teff	mh	cto	logkzz	PH3	Radius_pc	SpT	f_F098M	f_F105W	f_F110W	f_F125W	f_F140W	f_F160W	f_F300X	f_F350LP	f_F435W	f_F475W	f_F475X	f_F555W	f_F600LP	f_F606W	f_F625W	f_F775W	f_F814W	f_F850LP
spectra_logzz_2.0_teff_300.0_grav_178.0_mh_-0.5_co_1.0.nc	4.250420002308894	300.0	-0.5	1.0	2.0	chemeq	2.4066619011877596e-09	Y2	-22.155492749391296	-21.63050150328033	-21.672786203247938	-21.397634944421345	-22.02989044163669	-22.361301507855526	nan	-19.429904817928197	nan	nan	-14.606085500691563	-11.98428762997166	-20.07252776831362	-16.694086400155285	-16.684742813205553	-19.443676519456943	-20.50880326426602	-21.728370372269314
spectra_logzz_2.0_teff_325.0_grav_562.0_mh_-0.5_co_1.5.nc	4.749736315569061	325.0	-0.5	1.5	2.0	chemeq	2.126959626925858e-09	Y2	-23.266669781895004	-22.75404518515778	-22.82793776633984	-22.607632653839243	-23.209660552016697	-23.437329427907123	nan	-20.17542182955666	nan	nan	-14.914987136380887	-12.594345616791394	-20.82113408326849	-16.925497528534372	-16.926628125254226	-19.808339279842926	-21.082981547652338	-22.535772329473705
spectra_logzz_8.0_teff_300.0_grav_31.0_mh_-0.5_co_1.5.nc	3.4913616938342726	300.0	-0.5	1.5	8.0	chemeq	2.6266262404550096e-09	Y2	-21.577191291644173	-21.20237080355736	-21.66019773516875	-21.75561820462048	-22.320533388939527	-22.391849325717853	nan	-18.52506990612432	nan	nan	-13.656714164167688	-10.84059685839167	-19.166252142224053	-15.84200240989199	-15.813908540672031	-18.9183377056273	-19.66985146105679	-20.794453047226042
spectra_logzz_4.0_teff_275.0_grav_100.0_mh_-0.5_co_1.0.nc	4.0	275.0	-0.5	1.0	4.0	chemeq	2.4901271696465478e-09	Y2	-20.901267132946074	-20.352629862614588	-20.374552888905427	-20.059480078338332	-20.835156877921246	-21.25921718629968	nan	-18.473670573651226	nan	nan	-14.050966749780848	-11.407206654352628	-19.11425978625979	-16.137403478051304	-16.1349910429297	-18.69261961128103	-19.63115080331229	-20.712282414396185
spectra_logzz_7.0_teff_275.0_grav_1780.0_mh_-0.5_co_0.5.nc	5.250420002308894	275.0	-0.5	0.5	7.0	chemeq	1.779616451292318e-09	Y2	-22.2666667371361	-21.648611287802535	-21.21643505072225	-19.600170177288966	-20.699416017775658	-21.395023595873745	nan	-19.391513955887103	nan	nan	-14.870881963776355	-12.541926906553364	-20.037180667387453	-16.813378393584024	-16.8243665345675	-18.897452490200426	-20.2196479527968	-21.695608332948574
spectra_logzz_9.0_teff_300.0_grav_100.0_mh_-0.5_co_1.0.nc	4.0	300.0	-0.5	1.0	9.0	chemeq	2.514938161502595e-09	Y2	-22.193646518040875	-21.705599077002873	-21.87024817446404	-21.736580213192877	-22.34894438974538	-22.596930636897536	nan	-19.245254443402395	nan	nan	-14.168198294883666	-11.536882766325057	-19.888599788616744	-16.265394312731146	-16.25526754849554	-19.186845195075335	-20.2946135894079	-21.576647140706065
spectra_logzz_2.0_teff_325.0_grav_316.0_mh_-0.5_co_2.5.nc	4.4996870826184034	325.0	-0.5	2.5	2.0	chemeq	2.2848798353694526e-09	Y2	-23.061056934000476	-22.6025009479158	-22.82466188354145	-22.751795965677648	-23.284526634245946	-23.354880918552702	nan	-20.064229371915445	nan	nan	-15.136293209279295	-12.56126132091903	-20.707868818301026	-17.211959984483457	-17.200391289598873	-20.091840995959053	-21.09580627593716	-22.377596129990398
spectra_logzz_8.0_teff_275.0_grav_31.0_mh_-0.5_co_1.5.nc	3.4913616938342726	275.0	-0.5	1.5	8.0	chemeq	2.5926414736205174e-09	Y2	-20.202828940446704	-19.78830196140349	-20.21931029815634	-20.294775833463788	-20.985566858164624	-21.200907046743563	nan	-17.587861453419116	nan	nan	-13.238212031959279	-10.684349160991239	-18.226961982843303	-15.302753100032632	-15.302252464342267	-18.172809954602826	-18.798835739865552	-19.750743355337875
spectra_logzz_2.0_teff_300.0_grav_3160.0_mh_-0.5_co_2.5.nc	5.4996870826184034	300.0	-0.5	2.5	2.0	chemeq	1.6352672628061667e-09	Y2	-23.03380937980582	-22.42887769990521	-22.09728787204469	-21.014291127054822	-22.105075859884987	-22.533128218306203	nan	-20.139483540453384	nan	nan	-15.362422320074117	-13.054096528491527	-20.78540219523291	-17.28768631365663	-17.30002482087957	-19.70892750598349	-20.999508747064105	-22.45753930535751
spectra_logzz_8.0_teff_325.0_grav_1000.0_mh_-0.5_co_1.0.nc	5.0	325.0	-0.5	1.0	8.0	chemeq	1.9578173624816837e-09	Y2	-23.585663950406943	-23.029710048026956	-22.941547237741013	-22.491332473758973	-23.160981418166152	-23.50868466576941	nan	-20.56109787404502	nan	nan	-15.286476879082578	-12.805845745738075	-21.207271091990187	-17.305930670751266	-17.308373991064244	-20.03669903381072	-21.437698747543834	-22.92478419926502
