name	logg	Teff	mh	cto	logkzz	PH3	Radius_pc	SpT	f_F070W	f_F090W	f_F115W	f_F150W	f_F200W	f_F277W	f_F300M	f_F356W	f_F410M	f_F444W	f_F480M
spectra_logzz_9.0_teff_300.0_grav_178.0_mh_0.7_co_1.0.nc	4.250420002308894	300.0	0.7	1.0	9.0	chemeq	2.4021498885254974e-09	Y2	-18.618808757285105	-20.77756640744108	-23.993569627364643	-22.540308222645884	-21.246476981539512	-21.764718147400192	-22.77113694995376	-25.006222756699795	-27.763610586795345	-27.515960696824628	-26.163595191863987
spectra_logzz_2.0_teff_275.0_grav_100.0_mh_0.7_co_1.5.nc	4.0	275.0	0.7	1.5	2.0	chemeq	2.485616083158149e-09	Y2	-17.775874070215558	-18.111490900228436	-21.172586323792906	-19.642139130247678	-18.561316309070186	-19.458394432488564	-20.481798888863597	-22.826715229065783	-26.62487212638813	-27.414255632249613	-27.693626169639288
spectra_logzz_2.0_teff_325.0_grav_1780.0_mh_0.7_co_1.5.nc	5.250420002308894	325.0	0.7	1.5	2.0	chemeq	1.7615710277900978e-09	Y2	-19.84600194631547	-22.35522979768613	-24.968058164213016	-23.638190042715856	-21.873572626367753	-21.87865109897454	-22.85215073555501	-25.259397544896284	-28.45391395211479	-28.80949431352121	-28.767421383219126
spectra_logzz_2.0_teff_275.0_grav_56.0_mh_0.7_co_1.0.nc	3.7481880270062002	275.0	0.7	1.0	2.0	chemeq	2.5626563753470635e-09	Y2	-17.52896950625704	-17.770727660383624	-20.723989857854818	-19.18074178942205	-18.233294663537162	-19.390245559284132	-20.427896627409726	-23.002390067690374	-26.600318689839483	-27.394114660053454	-27.67888800861326
spectra_logzz_8.0_teff_275.0_grav_316.0_mh_0.7_co_0.5.nc	4.4996870826184034	275.0	0.7	0.5	8.0	chemeq	2.23300211297923e-09	Y2	-18.694924505519687	-21.008198903805166	-23.034451796164888	-21.94686307309413	-19.949653153070667	-20.663510944601704	-21.71123044746498	-25.142520320933944	-27.919328736950654	-27.73157120013541	-26.571819445489204
spectra_logzz_7.0_teff_300.0_grav_1000.0_mh_0.7_co_0.5.nc	5.0	300.0	0.7	0.5	7.0	chemeq	1.9262397143133415e-09	Y2	-19.614573539036897	-22.479209506216126	-24.581425464327477	-23.504627777738513	-21.43839579783441	-21.673578276610822	-22.681226386799374	-26.122141429257688	-28.702858118657844	-28.440013819861147	-27.330114736014117
spectra_logzz_7.0_teff_275.0_grav_1000.0_mh_0.7_co_2.5.nc	5.0	275.0	0.7	2.5	7.0	chemeq	1.919473023357895e-09	Y2	-19.317921706118916	-20.7395048468813	-23.608757080908564	-22.25554747357487	-20.324803196098095	-20.75505678290932	-21.750616229256007	-23.673588956207546	-27.383721097763818	-27.43003561992373	-26.566886120301405
spectra_logzz_2.0_teff_300.0_grav_100.0_mh_0.7_co_1.5.nc	4.0	300.0	0.7	1.5	2.0	chemeq	2.521704863514142e-09	Y2	-18.243592188831247	-19.12834816709894	-22.541159814952756	-21.021962628379995	-20.12402155056351	-20.793260216413312	-21.797186130482814	-23.617432785326777	-27.194266411176397	-27.849734275688423	-28.086386132942707
spectra_logzz_9.0_teff_275.0_grav_178.0_mh_0.7_co_1.0.nc	4.250420002308894	275.0	0.7	1.0	9.0	chemeq	2.3728283295377162e-09	Y2	-18.25802941553708	-19.94654201978743	-22.79669753206534	-21.412913109874452	-19.8412148689721	-20.60960371906003	-21.638695615446977	-24.241455534015774	-27.191210724999614	-27.069279186218147	-25.901319849816502
spectra_logzz_9.0_teff_325.0_grav_1000.0_mh_0.7_co_1.5.nc	5.0	325.0	0.7	1.5	9.0	chemeq	1.9352618988991165e-09	Y2	-19.778490438564255	-22.818736639104685	-25.71200785996649	-24.29673227760784	-22.790050238464595	-22.76249685340229	-23.731453703619863	-25.758214522277324	-28.455628108365943	-28.136984356399594	-26.605557287171408
