name	logg	Teff	mh	cto	logkzz	PH3	Radius_pc	SpT	f_F070W	f_F090W	f_F115W	f_F150W	f_F200W	f_F277W	f_F300M	f_F356W	f_F410M	f_F444W	f_F480M
spectra_logzz_2.0_teff_300.0_grav_178.0_mh_-0.5_co_1.0.nc	4.250420002308894	300.0	-0.5	1.0	2.0	chemeq	2.4066619011877596e-09	Y2	-17.68258861861704	-21.764558282373457	-21.705067133312536	-22.191307060392422	-18.183676518235778	-21.567466257710933	-22.635608709741255	-26.121185464293816	-28.64412373486503	-29.07180515216261	-29.11655140086659
spectra_logzz_2.0_teff_325.0_grav_562.0_mh_-0.5_co_1.5.nc	4.749736315569061	325.0	-0.5	1.5	2.0	chemeq	2.126959626925858e-09	Y2	-17.959651842082625	-22.680388346621946	-22.828260330681555	-23.2637205218614	-19.196285866829733	-22.468061806023385	-23.50314473075294	-26.54157434812749	-29.11177788817229	-29.467950896105254	-29.41940024544149
spectra_logzz_8.0_teff_300.0_grav_31.0_mh_-0.5_co_1.5.nc	3.4913616938342726	300.0	-0.5	1.5	8.0	chemeq	2.6266262404550096e-09	Y2	-16.951505546716092	-20.604006893368812	-22.09571228630579	-22.21247368746968	-18.293008025634116	-22.227124673292117	-23.235341797664645	-25.438611304005235	-28.35673382693033	-28.597556422773735	-28.538689600983073
spectra_logzz_4.0_teff_275.0_grav_100.0_mh_-0.5_co_1.0.nc	4.0	275.0	-0.5	1.0	4.0	chemeq	2.4901271696465478e-09	Y2	-17.1330861854248	-20.681605982445	-20.389380143902656	-21.08972130936915	-16.765371557592037	-20.672146680442797	-21.75873101581959	-25.382238515198846	-28.101808602826143	-28.632257521754944	-28.73146437778779
spectra_logzz_7.0_teff_275.0_grav_1780.0_mh_-0.5_co_0.5.nc	5.250420002308894	275.0	-0.5	0.5	7.0	chemeq	1.779616451292318e-09	Y2	-17.892572411709548	-22.03419484634356	-19.919300242699528	-21.224401894238735	-17.012212402389537	-20.66837060791573	-21.84526549710234	-26.8938278118704	-28.773120889457413	-28.864624673439813	-28.54364991826661
spectra_logzz_9.0_teff_300.0_grav_100.0_mh_-0.5_co_1.0.nc	4.0	300.0	-0.5	1.0	9.0	chemeq	2.514938161502595e-09	Y2	-17.295339767608034	-21.582849913767802	-22.057125950624616	-22.42351423174894	-18.4100097655078	-22.009315741967534	-23.060994851714106	-26.106967890523748	-28.685895908189288	-28.844416391929386	-28.70164238410354
spectra_logzz_2.0_teff_325.0_grav_316.0_mh_-0.5_co_2.5.nc	4.4996870826184034	325.0	-0.5	2.5	2.0	chemeq	2.2848798353694526e-09	Y2	-18.196534304441368	-22.39724621680169	-23.034705881326445	-23.177285361831764	-19.166870322473244	-22.52606936171475	-23.520694496389844	-25.894505585230167	-28.812866697852513	-29.387549659659484	-29.52188769398306
spectra_logzz_8.0_teff_275.0_grav_31.0_mh_-0.5_co_1.5.nc	3.4913616938342726	275.0	-0.5	1.5	8.0	chemeq	2.5926414736205174e-09	Y2	-16.516851141400245	-19.574668151716537	-20.62471453660237	-21.025016932330985	-16.62103364878471	-21.090591573063044	-22.12887000505868	-24.759610218687172	-27.832724194093185	-28.262988620463563	-28.34278821413715
spectra_logzz_2.0_teff_300.0_grav_3160.0_mh_-0.5_co_2.5.nc	5.4996870826184034	300.0	-0.5	2.5	2.0	chemeq	1.6352672628061667e-09	Y2	-18.38743931178891	-22.73657691132351	-21.23997631671376	-22.35303573122825	-17.78094016488325	-22.227784834831297	-23.258232869860606	-26.024612693724197	-28.754819241454562	-29.13212421631801	-29.0500120155126
spectra_logzz_8.0_teff_325.0_grav_1000.0_mh_-0.5_co_1.0.nc	5.0	325.0	-0.5	1.0	8.0	chemeq	1.9578173624816837e-09	Y2	-18.273879615666953	-23.131644216895282	-22.663280135194807	-23.336565190960926	-19.317030770492533	-22.544234975584935	-23.606495561833153	-27.14663496676452	-29.3792152194736	-29.49159804205958	-29.248373117284444
spectra_logzz_8.0_teff_275.0_grav_100.0_mh_-0.5_co_2.5.nc	4.0	275.0	-0.5	2.5	8.0	chemeq	2.4901271696465478e-09	Y2	-17.16420845457718	-20.379081875330343	-20.915380472824197	-21.418088567335985	-16.669980668091004	-21.086413655196857	-22.109588280037762	-24.574722188046653	-27.887113737948408	-28.346982879362884	-28.41861221751529
spectra_logzz_2.0_teff_275.0_grav_1000.0_mh_-0.5_co_2.5.nc	5.0	275.0	-0.5	2.5	2.0	chemeq	1.942028479063045e-09	Y2	-18.141291578968687	-21.697052217397804	-20.4715041620383	-21.5213467112564	-16.427229314339982	-21.010873120774217	-22.05643925503829	-25.06250652858006	-28.160515608358473	-28.716093187951245	-28.738265786016257
spectra_logzz_2.0_teff_325.0_grav_56.0_mh_-0.5_co_1.0.nc	3.7481880270062002	325.0	-0.5	1.0	2.0	chemeq	2.612266159347838e-09	Y2	-17.302469585804275	-21.529674100820106	-22.72666646550055	-22.77597442575133	-19.24001954023506	-22.469331519357468	-23.491338570860485	-26.272100665965212	-28.834400205353507	-29.30152651579933	-29.41038322930626
spectra_logzz_9.0_teff_300.0_grav_17.0_mh_-0.5_co_1.0.nc	3.230448921378274	300.0	-0.5	1.0	9.0	chemeq	2.686000108339325e-09	Y2	-16.46531875500527	-20.403579592088576	-21.967418786227352	-22.109129801780185	-18.326190783065396	-22.344882387717888	-23.365444884621553	-25.6952936696516	-28.428528066445807	-28.559614886160176	-28.399311394770706
spectra_logzz_4.0_teff_275.0_grav_31.0_mh_-0.5_co_1.0.nc	3.4913616938342726	275.0	-0.5	1.0	4.0	chemeq	2.5926414736205174e-09	Y2	-16.390907994804152	-19.654471264728873	-20.23514009996537	-20.729632423386477	-16.523456018946753	-20.731725015647744	-21.801218499477322	-25.028215101709947	-27.870765587032253	-28.488703971501955	-28.6643694541527
spectra_logzz_8.0_teff_300.0_grav_100.0_mh_-0.5_co_0.5.nc	4.0	300.0	-0.5	0.5	8.0	chemeq	2.514938161502595e-09	Y2	-17.26168196334897	-21.668415652800604	-21.70176463395513	-22.317801763882237	-18.47767134375041	-21.78684648777582	-22.894698738463184	-26.650529905973873	-28.860497057199794	-29.03175750105773	-28.911074525655437
spectra_logzz_9.0_teff_300.0_grav_1780.0_mh_-0.5_co_2.5.nc	5.250420002308894	300.0	-0.5	2.5	9.0	chemeq	1.786382866538159e-09	Y2	-18.514687356984872	-22.647493227057623	-21.80105658457516	-22.58516222164059	-18.081422638649464	-21.809286664319245	-22.841213180601223	-25.93364067895897	-28.76862007193283	-29.102477892251283	-28.989550540011194
spectra_logzz_9.0_teff_275.0_grav_17.0_mh_-0.5_co_1.0.nc	3.230448921378274	275.0	-0.5	1.0	9.0	chemeq	2.647292748434921e-09	Y2	-16.29159401223768	-19.521773278681025	-20.520001346365646	-20.961521097413897	-16.710861266320777	-21.17831163779903	-22.226699447920424	-25.021958735823326	-27.914391037867826	-28.19529188021191	-28.15729475776581
spectra_logzz_4.0_teff_325.0_grav_1000.0_mh_-0.5_co_2.5.nc	5.0	325.0	-0.5	2.5	4.0	chemeq	1.9578173624816837e-09	Y2	-18.26308825179798	-22.953069244150456	-22.87681710143645	-23.343675760216982	-19.00303364954252	-22.585844088435064	-23.597146588288226	-26.16332374224168	-28.98919451955925	-29.43351730931985	-29.431188924039446
spectra_logzz_4.0_teff_300.0_grav_31.0_mh_-0.5_co_1.0.nc	3.4913616938342726	300.0	-0.5	1.0	4.0	chemeq	2.6266262404550096e-09	Y2	-16.895029913516936	-20.57676966189767	-21.634360934983548	-21.80611856094843	-17.986047424696473	-21.80283516610754	-22.839269304905734	-25.62779789847763	-28.327621072137784	-28.831836101587957	-28.984631116994024
spectra_logzz_4.0_teff_300.0_grav_1000.0_mh_-0.5_co_0.5.nc	5.0	300.0	-0.5	0.5	4.0	chemeq	1.951050650519791e-09	Y2	-18.17962017374478	-22.47854098825956	-21.196379085644267	-22.262865606733342	-18.200354609612774	-21.522433048378712	-22.66265502096355	-27.21709659949665	-29.12906501009816	-29.21761611464445	-28.92784624551666
