name	logg	Teff	mh	cto	logkzz	PH3	Radius_pc	SpT	f_F062	f_F087	f_F106	f_F129	f_F158	f_F184	f_F146	f_F213
spectra_logzz_9.0_teff_300.0_grav_178.0_mh_0.7_co_1.0.nc	4.250420002308894	300.0	0.7	1.0	9.0	chemeq	2.4021498885254974e-09	Y2	-18.050469559647297	-20.691760833143665	-22.9421226859036	-23.382425203388365	-22.38764244698042	-18.72630266931165	-22.758031682050845	-21.619817813800875
spectra_logzz_2.0_teff_275.0_grav_100.0_mh_0.7_co_1.5.nc	4.0	275.0	0.7	1.5	2.0	chemeq	2.485616083158149e-09	Y2	-17.170958129739084	-18.34633006077003	-20.044335785724016	-20.553140729647204	-19.48465649727322	-15.45324833945628	-19.892441224985383	-18.94334846580314
spectra_logzz_2.0_teff_325.0_grav_1780.0_mh_0.7_co_1.5.nc	5.250420002308894	325.0	0.7	1.5	2.0	chemeq	1.7615710277900978e-09	Y2	-19.36177290980573	-22.144474195856155	-23.95759171828096	-24.375657956795294	-23.48453366444	-19.322755566632722	-23.77756774818963	-22.242801889707835
spectra_logzz_2.0_teff_275.0_grav_56.0_mh_0.7_co_1.0.nc	3.7481880270062002	275.0	0.7	1.0	2.0	chemeq	2.5626563753470635e-09	Y2	-16.901685568732383	-18.0488341755616	-19.576128627142516	-20.11215044804634	-19.023227974592828	-15.175884226672899	-19.4396892731108	-18.614998273116434
spectra_logzz_8.0_teff_275.0_grav_316.0_mh_0.7_co_0.5.nc	4.4996870826184034	275.0	0.7	0.5	8.0	chemeq	2.23300211297923e-09	Y2	-18.155618878717174	-20.91464082958258	-22.080418015987487	-22.378741943579612	-21.79920660750889	-18.013114842425217	-21.892227608413194	-20.303404638970594
spectra_logzz_7.0_teff_300.0_grav_1000.0_mh_0.7_co_0.5.nc	5.0	300.0	0.7	0.5	7.0	chemeq	1.9262397143133415e-09	Y2	-19.14948402187971	-22.21519959755033	-23.66497461456295	-23.958423246886408	-23.36787992710588	-19.95330494056377	-23.469609643099453	-21.778236181222173
spectra_logzz_7.0_teff_275.0_grav_1000.0_mh_0.7_co_2.5.nc	5.0	275.0	0.7	2.5	7.0	chemeq	1.919473023357895e-09	Y2	-18.788152466252775	-20.763558293864698	-22.528947604893126	-23.006900931838103	-22.10036255991158	-17.515553393671134	-22.38730708315857	-20.703562061129677
spectra_logzz_2.0_teff_300.0_grav_100.0_mh_0.7_co_1.5.nc	4.0	300.0	0.7	1.5	2.0	chemeq	2.521704863514142e-09	Y2	-17.708093214345098	-19.253130215777574	-21.457872566426857	-21.915036798544698	-20.86713736145917	-17.250740921207765	-21.275982735535084	-20.504266741109955
spectra_logzz_9.0_teff_275.0_grav_178.0_mh_0.7_co_1.0.nc	4.250420002308894	275.0	0.7	1.0	9.0	chemeq	2.3728283295377162e-09	Y2	-17.703044331813448	-19.946479663275557	-21.744764197376718	-22.166473822898872	-21.257180505926282	-17.17707401560348	-21.56456034112756	-20.217451242700307
spectra_logzz_9.0_teff_325.0_grav_1000.0_mh_0.7_co_1.5.nc	5.0	325.0	0.7	1.5	9.0	chemeq	1.9352618988991165e-09	Y2	-19.359299683202735	-22.543878459913238	-24.669335979959385	-25.14556400148412	-24.14580379309878	-20.417316725934004	-24.507827391483346	-23.157158595437192
