name	logg	Teff	mh	cto	logkzz	PH3	Radius_pc	SpT	f_F062	f_F087	f_F106	f_F129	f_F158	f_F184	f_F146	f_F213
spectra_logzz_4.0_teff_300.0_grav_1780.0_mh_-1.0_co_0.5.nc	5.250420002308894	300.0	-1.0	0.5	4.0	chemeq	1.786382866538159e-09	Y2	-17.00226427335243	-21.607784065293934	-22.34068028486875	-19.950860327379825	-21.552068625350557	-18.96237100476739	-21.414573942727145	-13.479341794491148
spectra_logzz_8.0_teff_325.0_grav_178.0_mh_-1.0_co_2.5.nc	4.250420002308894	325.0	-1.0	2.5	8.0	chemeq	2.4247059500110064e-09	Y2	-17.048509003179667	-21.794198482156993	-22.43375308937089	-21.805185209015228	-22.81672111738755	-19.67547927460679	-22.20951122858284	-17.1984317232704
spectra_logzz_9.0_teff_325.0_grav_1000.0_mh_-1.0_co_0.5.nc	5.0	325.0	-1.0	0.5	9.0	chemeq	1.9578173624816837e-09	Y2	-17.31987273375828	-21.912298886370962	-22.564384888965527	-21.020475726264067	-22.423370410393574	-20.16791303107507	-21.95746312431365	-15.325078149891198
spectra_logzz_7.0_teff_325.0_grav_3160.0_mh_-1.0_co_2.5.nc	5.4996870826184034	325.0	-1.0	2.5	7.0	chemeq	1.6371145985624411e-09	Y2	-17.54224597999049	-22.63338043353465	-23.204805773637048	-21.45480323286434	-22.85261191521004	-19.900024632723802	-22.478797997803994	-15.754127863177274
spectra_logzz_8.0_teff_300.0_grav_316.0_mh_-1.0_co_1.0.nc	4.4996870826184034	300.0	-1.0	1.0	8.0	chemeq	2.2713463694327747e-09	Y2	-16.61090760370791	-21.278765445273237	-21.967780909430264	-20.325257860735086	-21.741593183869636	-19.117857347957735	-21.31964101624161	-14.83306546479939
spectra_logzz_4.0_teff_325.0_grav_178.0_mh_-1.0_co_1.0.nc	4.250420002308894	325.0	-1.0	1.0	4.0	chemeq	2.4247059500110064e-09	Y2	-16.937767809567504	-21.646408473622824	-22.346051026840794	-21.499327430588686	-22.6179999373534	-20.131030367837578	-22.029669485909864	-16.639074415623842
spectra_logzz_7.0_teff_325.0_grav_316.0_mh_-1.0_co_1.5.nc	4.4996870826184034	325.0	-1.0	1.5	7.0	chemeq	2.2848798353694526e-09	Y2	-16.79268193156055	-21.813899882993734	-22.543063052898383	-21.56681299489247	-22.73144886821335	-20.041053632937288	-22.163443756427167	-16.57610292088139
spectra_logzz_9.0_teff_325.0_grav_56.0_mh_-1.0_co_1.0.nc	3.7481880270062002	325.0	-1.0	1.0	9.0	chemeq	2.612266159347838e-09	Y2	-16.150838836941375	-21.324876190988533	-22.200198110004372	-21.69215567505401	-22.700791061773103	-20.10751412349582	-22.060801179565733	-17.257560294153933
spectra_logzz_2.0_teff_300.0_grav_17.0_mh_-1.0_co_1.0.nc	3.230448921378274	300.0	-1.0	1.0	2.0	chemeq	2.686000108339325e-09	Y2	-15.608418203249045	-20.213454602766728	-20.682821725740514	-20.274073667768477	-21.3713336771052	-18.642856854878296	-20.66500709552799	-15.998169107904587
spectra_logzz_4.0_teff_300.0_grav_562.0_mh_-1.0_co_1.5.nc	4.749736315569061	300.0	-1.0	1.5	4.0	chemeq	2.1156823557096483e-09	Y2	-17.01940370020614	-21.575463952341565	-22.17421003122539	-20.409823994037783	-21.866216462438526	-19.045951815524617	-21.477502005325604	-14.784816706412244
spectra_logzz_4.0_teff_275.0_grav_316.0_mh_-1.0_co_0.5.nc	4.4996870826184034	275.0	-1.0	0.5	4.0	chemeq	2.257812869360622e-09	Y2	-16.458972904419007	-20.573536021360788	-21.349921664866212	-18.922215286098613	-20.63664402168956	-18.215870011835854	-20.455895625965585	-12.780168392069605
spectra_logzz_9.0_teff_275.0_grav_316.0_mh_-1.0_co_2.5.nc	4.4996870826184034	275.0	-1.0	2.5	9.0	chemeq	2.257812869360622e-09	Y2	-16.529447037830423	-20.68306107461553	-21.243231847456514	-19.326271122281433	-20.94353981242425	-17.42748296410388	-20.53884928415696	-13.714612566705384
spectra_logzz_9.0_teff_300.0_grav_316.0_mh_-1.0_co_0.5.nc	4.4996870826184034	300.0	-1.0	0.5	9.0	chemeq	2.2713463694327747e-09	Y2	-16.568669722204206	-21.185666086674953	-21.927266647699867	-20.115424946679365	-21.647031695129407	-19.357976472475872	-21.241072692986737	-14.432474192442164
spectra_logzz_7.0_teff_325.0_grav_562.0_mh_-1.0_co_2.5.nc	4.749736315569061	325.0	-1.0	2.5	7.0	chemeq	2.126959626925858e-09	Y2	-17.14350897798686	-22.184924936495058	-22.830725438417975	-21.617550410541646	-22.821251127032816	-19.762254482326917	-22.3237826076548	-16.559226310965393
spectra_logzz_2.0_teff_275.0_grav_17.0_mh_-1.0_co_1.0.nc	3.230448921378274	275.0	-1.0	1.0	2.0	chemeq	2.647292748434921e-09	Y2	-15.174793794725666	-19.235234699110297	-19.58077382977443	-18.919671175053466	-20.341713418046055	-17.41691026556352	-19.560155150039165	-14.243609347633154
spectra_logzz_4.0_teff_300.0_grav_316.0_mh_-1.0_co_2.5.nc	4.4996870826184034	300.0	-1.0	2.5	4.0	chemeq	2.2713463694327747e-09	Y2	-16.64325200757965	-21.335660113864527	-21.926374282564293	-20.546281481359316	-21.902954019190435	-18.61841723097902	-21.394448419375195	-15.313249782372367
spectra_logzz_9.0_teff_275.0_grav_562.0_mh_-1.0_co_1.5.nc	4.749736315569061	275.0	-1.0	1.5	9.0	chemeq	2.1066605177302343e-09	Y2	-16.883611167088908	-20.831591926315912	-21.467784587185776	-19.16861587062768	-20.808175563262	-17.830592095321293	-20.597418881133766	-13.109020667872656
